epochs,hyperRAM (r),hyperRAM (w),hyperRAM (r+w),hyperRAM (r cycles),hyperRAM (w cycles),hyperRAM (cycles),octoFlash (r),octoFlash (w),octoFlash (r+w),octoFlash (r cycles),octoFlash (w cycles),octoFlash (cycles),npuRAM5 (r),npuRAM5 (w),npuRAM5 (r+w),npuRAM5 (r cycles),npuRAM5 (w cycles),npuRAM5 (cycles),npuRAM4 (r),npuRAM4 (w),npuRAM4 (r+w),npuRAM4 (r cycles),npuRAM4 (w cycles),npuRAM4 (cycles),npuRAM3 (r),npuRAM3 (w),npuRAM3 (r+w),npuRAM3 (r cycles),npuRAM3 (w cycles),npuRAM3 (cycles),npuRAM6 (r),npuRAM6 (w),npuRAM6 (r+w),npuRAM6 (r cycles),npuRAM6 (w cycles),npuRAM6 (cycles),cpuRAM2 (r),cpuRAM2 (w),cpuRAM2 (r+w),cpuRAM2 (r cycles),cpuRAM2 (w cycles),cpuRAM2 (cycles),cpuRAM1 (r),cpuRAM1 (w),cpuRAM1 (r+w),cpuRAM1 (r cycles),cpuRAM1 (w cycles),cpuRAM1 (cycles),flexMEM (r),flexMEM (w),flexMEM (r+w),flexMEM (r cycles),flexMEM (w cycles),flexMEM (cycles),bus port 1 (r),bus port 1 (w),bus port 0 (r),bus port 0 (w),epoch OPS,epoch OPS vs total %,epoch compute (cyles),epoch compute (cyles) vs Tot %,max (cycles),max (cycles) vs Tot %,epoch average ATON power (mW),epoch average ATON power vs Tot %,epoch average memory power (mW),epoch average memory power vs Tot %
70 ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,9.07207e-08,1,3.77948e-08,3.88405,5.59796e-09,0,0
71 ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,9.07207e-08,1,3.77948e-08,3.88405,5.59796e-09,0,0
72 ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,9.07207e-08,1,3.77948e-08,3.88405,5.59796e-09,0,0
73 ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,9.07207e-08,1,3.77948e-08,3.88405,5.59796e-09,0,0
74 ,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,9.07207e-08,1,3.77948e-08,3.88405,5.59796e-09,0,0
75 ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,9.07207e-08,1,3.77948e-08,1.94203,2.79898e-09,0,0
76 ,0,0,0,0,0,0,0,0,0,0,0,0,26,26,52,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,7,2.64564e-07,0,6.14672e-08,0,2.50004e-07
77 ,0,0,0,0,0,0,26,0,26,156,0,156,26,1,27,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,1,54,5.93788e-08,26,2.35874e-06,156,5.89599e-06,72.6808,2.72357e-06,224.276,6.99556e-06
78 ,0,0,0,0,0,0,5,0,5,12,0,12,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.62883e-07,30,1.13384e-06,0,0,0,0
79 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Total,0,0,0,0,0,0,3177880,0,3177880,13444122,0,13444122,13459270,6703260,20162530,1422278,871095,2293373,3186176,1643264,4829440,408986,233240,642226,682496,230912,913408,82320,11760,94080,0,0,0,0,0,0,1650688,1048576,2699264,399040,352000,751040,0,0,0,0,0,0,0,0,0,0,0,0,
BW,0,0,0,0,0,0,1.20107e+08,0,1.20107e+08,5.08118e+08,0,5.08118e+08,5.0869e+08,2.53348e+08,7.62039e+08,5.37547e+07,3.29229e+07,8.66775e+07,1.20421e+08,6.21068e+07,1.82528e+08,1.54575e+07,8.81526e+06,2.42728e+07,2.57948e+07,8.72727e+06,3.45221e+07,3.11127e+06,444467,3.55573e+06,0,0,0,0,0,0,6.23874e+07,3.96307e+07,1.02018e+08,1.50816e+07,1.33038e+07,2.83854e+07,0,0,0,0,0,0,0,0,0,0,0,0,

hyperRAM , ?
octoFlash , 3.07 MB , total bytes r/w BW,1.20107e+08
npuRAM5 , 441.00 KB , total bytes r/w BW,7.62039e+08
npuRAM4 , 441.00 KB , total bytes r/w BW,1.82528e+08
npuRAM3 , 152.00 KB , total bytes r/w BW,3.45221e+07
npuRAM6 , ?
cpuRAM2 , 1.00 MB , total bytes r/w BW,1.02018e+08
cpuRAM1 , ?
flexMEM , ?

Total cycles,26458674
Total ideal cycles,11022843
Total OPS,909415488
Total ops/cycle,34
Total ideal ops/cycle,82
Frames/sec(1000 MHz),37.7948
Ideal Frames/sec(1000 MHz),90.7207
Average ATON power mW(1000 MHz),26.2233
Average memory power mW,31.5041
Average Total power mW,57.7274
TOPS/W,0.588975
